stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GBCKNHMH-Plat01-NB-thameslink,,Northbound Platform 1,,,,0,910GBCKNHMH,,1
910GBCKNHMH-Plat02-SB-thameslink,,Southbound Platform 2,,,,0,910GBCKNHMH,,2
910GBELNGHM,910GBELNGHM,Bellingham,,,,1,,,
910GBELNGHM-Outside,,Outside Bellingham,,,,3,910GBELNGHM,,
910GBELNGHM-1001019-Entr-4,,Entr,,51.43278,-0.01948,3,910GBELNGHM,L#1,
910GBELNGHM-1001019-FBdg-5,,FBdg,,51.43287,-0.01933,3,910GBELNGHM,L#1,
910GBELNGHM-1001019-RLY-3,,RLY,,51.43387,-0.02044,3,910GBELNGHM,L#0,
910GBELNGHM-1001019-RPL N-1,,RPL N,,51.43295,-0.01953,3,910GBELNGHM,L#0,
910GBELNGHM-1001019-RPL S-2,,RPL S,,51.43299,-0.01936,3,910GBELNGHM,L#0,
910GBELNGHM-Plat01-NB-thameslink,,Northbound Platform 1,,,,0,910GBELNGHM,,1
910GBELNGHM-Plat02-SB-thameslink,,Southbound Platform 2,,,,0,910GBELNGHM,,2
910GBHILLPK,910GBHILLPK,Bush Hill Park,,,,1,,,
910GBHILLPK-Outside,,Outside Bush Hill Park,,,,3,910GBHILLPK,,
910GBHILLPK-1001042-BRDGE-7,,BRDGE,,51.6413,-0.06916,3,910GBHILLPK,L#1,
910GBHILLPK-1001042-Bus-4,,Bus,,51.64139,-0.06856,3,910GBHILLPK,L#0,
910GBHILLPK-1001042-EntrM-2,,EntrM,,51.64162,-0.069,3,910GBHILLPK,L#0,
910GBHILLPK-1001042-EntrQ-6,,EntrQ,,51.64137,-0.06962,3,910GBHILLPK,L#0,
910GBHILLPK-1001042-RLY-3,,RLY,,51.64152,-0.06922,3,910GBHILLPK,L#0,
910GBHILLPK-1001042-RPL-N-1,,RPL-N,,51.64183,-0.06961,3,910GBHILLPK,L#0,
910GBHILLPK-1001042-RPL-S-5,,RPL-S,,51.64187,-0.06947,3,910GBHILLPK,L#0,
910GBHILLPK-Plat01-SB-london-overground,,Southbound Platform 1,,,,0,910GBHILLPK,,1
910GBHILLPK-Plat02-NB-london-overground,,Northbound Platform 2,,,,0,910GBHILLPK,,2
910GBICKLEY,910GBICKLEY,Bickley,,,,1,,,
910GBICKLEY-Outside,,Outside Bickley,,,,3,910GBICKLEY,,
910GBICKLEY-1001026-Bus-3,,Bus,,51.39904,0.04665,3,910GBICKLEY,L#0,
910GBICKLEY-1001026-Entr-5,,Entr,,51.40012,0.04524,3,910GBICKLEY,L#0,
910GBICKLEY-1001026-RLY-4,,RLY,,51.40011,0.04503,3,910GBICKLEY,L#0,
910GBICKLEY-1001026-RPL1-1,,RPL1,,51.40005,0.04486,3,910GBICKLEY,L#-1,
910GBICKLEY-1001026-RPL2-2,,RPL2,,51.40015,0.04485,3,910GBICKLEY,L#-1,
910GBICKLEY-Plat01-NB-national-rail,,Northbound Platform 1,,,,0,910GBICKLEY,,1
910GBICKLEY-Plat02-SB-national-rail,,Southbound Platform 2,,,,0,910GBICKLEY,,2
910GBNHAM,910GBNHAM,Burnham,,,,1,,,
910GBNHAM-Outside,,Outside Burnham,,,,3,910GBNHAM,,
910GBNHAM-1000860-Bus-91,,Bus,,51.52341,-0.64623,3,910GBNHAM,L#0,
910GBNHAM-1000860-Entr-90,,Entr,,51.5234,-0.64648,3,910GBNHAM,L#0,
910GBNHAM-1000860-RLY-3,,RLY,,51.5235,-0.64637,3,910GBNHAM,L#0,
910GBNHAM-1000860-RPL E-1,,RPL E,,51.5235,-0.64637,3,910GBNHAM,L#1,
910GBNHAM-1000860-RPL W-2,,RPL W,,51.52332,-0.64609,3,910GBNHAM,L#1,
910GBNHAM-1000860-UP-4,,UP,,51.52323,-0.64595,3,910GBNHAM,L#0,
910GBNHAM-Plat01-WB-elizabeth,,Westbound Platform 1,,,,0,910GBNHAM,,1
910GBNHAM-Plat02-EB-elizabeth,,Eastbound Platform 2,,,,0,910GBNHAM,,2
910GBRBY,910GBRBY,Brondesbury,,,,1,,,
910GBRBY-Outside,,Outside Brondesbury,,,,3,910GBRBY,,
