UniqueId,StationUniqueId,AreaName,AreaId,Level,Lat,Lon,FriendlyName
910GBRBY-1001038-RPL-W-5,910GBRBY,RPL-W,5,1,51.54505,-0.20252,RPL-W
910GBRBYPK-1001039-BUS-3,910GBRBYPK,BUS,3,0,51.54067,-0.20958,BUS
910GBRBYPK-1001039-Entr-2,910GBRBYPK,Entr,2,0,51.54093,-0.2099,Entr
910GBRBYPK-1001039-RLY-4,910GBRBYPK,RLY,4,0,51.54034,-0.2105,RLY
910GBRBYPK-1001039-RPL-E-5,910GBRBYPK,RPL-E,5,1,51.54081,-0.21014,RPL-E
910GBRBYPK-1001039-RPL-W-1,910GBRBYPK,RPL-W,1,1,51.54073,-0.21005,RPL-W
910GBRENTX-1002310-BusE-9,910GBRENTX,BusE,9,0,51.56822,-0.22401,BusE
910GBRENTX-1002310-BusW-1,910GBRENTX,BusW,1,0,51.5678,-0.22647,BusW
910GBRENTX-1002310-EML-11,910GBRENTX,EML,11,1,51.56817,-0.22515,EML
910GBRENTX-1002310-EntE-6,910GBRENTX,EntE,6,0,51.56844,-0.2241,EntE
910GBRENTX-1002310-EntW-7,910GBRENTX,EntW,7,0,51.56793,-0.22621,EntW
910GBRENTX-1002310-FB-8,910GBRENTX,FB,8,2,51.56817,-0.22515,FB
910GBRENTX-1002310-RLY-5,910GBRENTX,RLY,5,2,51.56817,-0.22509,RLY
910GBRENTX-1002310-RPL1-2,910GBRENTX,RPL1,2,0,51.56829,-0.22487,RPL1
910GBRENTX-1002310-RPL2-3,910GBRENTX,RPL2,3,0,51.56793,-0.22489,RPL2
910GBRENTX-1002310-RPL3-4,910GBRENTX,RPL3,4,0,51.56787,-0.22489,RPL3
910GBRENTX-1002310-RPL4-10,910GBRENTX,RPL4,10,0,51.56738,-0.22491,RPL4
910GBROCKLY-1001035-Brdge-7,910GBROCKLY,Brdge,7,1,51.4642,-0.03799,Brdge
910GBROCKLY-1001035-Bus-4,910GBROCKLY,Bus,4,0,51.46388,-0.03622,Bus
