UniqueId,StationUniqueId,PlatformNumber,CardinalDirection,PlatformNaptanCode,FriendlyName,IsCustomerFacing,HasServiceInterchange,AccessibleEntranceName,HasStepFreeRouteInformation
HUBWBP-Plat02-EB-district,HUBWBP,2,Eastbound,9400ZZLUWBN1,Eastbound Platform 2,TRUE,FALSE,,TRUE
HUBWBP-Plat03-SB-london-overground,HUBWBP,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
HUBWBP-Plat04-NB-london-overground,HUBWBP,4,Northbound,,Northbound Platform 4,TRUE,FALSE,,TRUE
HUBWCY-EB-tram,HUBWCY,,Eastbound,,Eastbound,TRUE,FALSE,,TRUE
HUBWCY-Plat01-NB-london-overground,HUBWCY,1,Northbound,,Northbound Platform 1,TRUE,FALSE,London Road car park,TRUE
HUBWEH-Plat01-WB-district|hammersmith-city,HUBWEH,1,Westbound,940GZZLUWHM1,Westbound Platform 1,TRUE,TRUE,,TRUE
HUBWEH-Plat02-EB-district|hammersmith-city,HUBWEH,2,Eastbound,940GZZLUWHM1,Eastbound Platform 2,TRUE,TRUE,,TRUE
HUBWEH-Plat03-SB-dlr,HUBWEH,3,Southbound,9400ZZDLWHM1,Southbound Platform 3,TRUE,FALSE,,TRUE
HUBWEH-Plat04-NB-dlr,HUBWEH,4,Northbound,9400ZZDLWHM1,Northbound Platform 4,TRUE,FALSE,,TRUE
HUBWEH-Plat05-WB-jubilee,HUBWEH,5,Westbound,9400ZZLUWHM2,Westbound Platform 5,TRUE,FALSE,,TRUE
HUBWEH-Plat06-EB-jubilee,HUBWEH,6,Eastbound,9400ZZLUWHM2,Eastbound Platform 6,TRUE,FALSE,,TRUE
HUBWFJ-Plat01-SB-london-overground,HUBWFJ,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
HUBWFJ-Plat02-SB-london-overground,HUBWFJ,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
HUBWFJ-Plat03-SB-london-overground,HUBWFJ,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
HUBWFJ-Plat04-SB-london-overground,HUBWFJ,4,Southbound,,Southbound Platform 4,TRUE,FALSE,,TRUE
HUBWHC-Plat01-SB-london-overground,HUBWHC,1,Southbound,,Southbound Platform 1,TRUE,FALSE,Station Approach,TRUE
HUBWHC-Plat01-SB-victoria,HUBWHC,1,Southbound,9400ZZLUWWL1,Southbound Platform 1,TRUE,FALSE,,TRUE
HUBWHC-Plat02-NB-london-overground,HUBWHC,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
HUBWHC-Plat02-SB-victoria,HUBWHC,2,Southbound,9400ZZLUWWL1,Southbound Platform 2,TRUE,FALSE,,TRUE
HUBWIJ-Plat01-SB-bakerloo|london-overground,HUBWIJ,1,Southbound,9400ZZLUWJN1,Southbound Platform 1,TRUE,TRUE,,TRUE
HUBWIJ-Plat02-SB-london-overground,HUBWIJ,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
HUBWIJ-Plat03-NB-bakerloo|london-overground,HUBWIJ,3,Northbound,9400ZZLUWJN1,Northbound Platform 3,TRUE,TRUE,,TRUE
HUBWIJ-Plat04-NB-london-overground,HUBWIJ,4,Northbound,,Northbound Platform 4,TRUE,FALSE,,TRUE
HUBWIJ-Plat05-WB-london-overground,HUBWIJ,5,Westbound,,Westbound Platform 5,TRUE,FALSE,,TRUE
HUBWIM-EB-tram,HUBWIM,,Eastbound,,Eastbound,TRUE,FALSE,,TRUE
HUBWIM-Plat01-EB-district,HUBWIM,1,Eastbound,9400ZZLUWIM1,Eastbound Platform 1,TRUE,FALSE,,TRUE
HUBWIM-Plat02-EB-district,HUBWIM,2,Eastbound,9400ZZLUWIM1,Eastbound Platform 2,TRUE,FALSE,,TRUE
HUBWIM-Plat03-EB-district,HUBWIM,3,Eastbound,9400ZZLUWIM1,Eastbound Platform 3,TRUE,FALSE,,TRUE
HUBWIM-Plat04-EB-district,HUBWIM,4,Eastbound,9400ZZLUWIM1,Eastbound Platform 4,TRUE,FALSE,,TRUE
HUBWIM-Plat09-NB-thameslink,HUBWIM,9,Northbound,,Northbound Platform 9,TRUE,FALSE,,TRUE
HUBWIM-Plat09-SB-thameslink,HUBWIM,9,Southbound,,Southbound Platform 9,TRUE,FALSE,,TRUE
HUBWMB-Plat01-NB-bakerloo|london-overground,HUBWMB,1,Northbound,9400ZZLUWYC1,Northbound Platform 1,TRUE,TRUE,,TRUE
