StationUniqueId,Id,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,Type,IsManagedByTfL
910GROMFORD,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GSHENFLD,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GSHENFLD,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GSHENFLD,3,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GSHRDHST,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GSLOUGH,1,FALSE,FALSE,TRUE,Located on platforms 1 & 5,FALSE,Male,TRUE
910GSLOUGH,2,FALSE,FALSE,TRUE,Located on platforms 1 & 5,FALSE,Female,TRUE
910GSLOUGH,3,TRUE,FALSE,TRUE,Located on platforms 1 & 5,FALSE,Unisex,TRUE
910GSTHALL,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
910GSTHALL,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
910GSTHALL,3,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
910GSVNKNGS,1,TRUE,FALSE,TRUE,Located on Footbridge,FALSE,Unisex,TRUE
910GTAPLOW,1,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
910GTAPLOW,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
910GTAPLOW,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GTWYFORD,1,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
910GTWYFORD,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
910GTWYFORD,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GWDRYTON,1,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
910GWDRYTON,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
910GWDRYTON,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GWEALING,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GWHMDSTD,1,FALSE,FALSE,FALSE,,FALSE,Male,TRUE
910GWHMDSTD,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GWHMDSTD,3,TRUE,TRUE,TRUE,,FALSE,Unisex,TRUE
940GZZDLSIT,1,FALSE,FALSE,FALSE,Located in National Rail station,FALSE,Male,FALSE
940GZZDLSIT,2,FALSE,TRUE,FALSE,Located in National Rail station,FALSE,Female,FALSE
940GZZDLSIT,3,TRUE,FALSE,FALSE,Located in National Rail station,FALSE,Unisex,FALSE
940GZZLUACT,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUACT,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUACT,3,TRUE,TRUE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUALP,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
