StationUniqueId,LiftUniqueId,LiftId,NationalRailUprn,LiftName,FriendlyName,FromAreas,IntermediateAreas,IntermediateAreas2,ToAreas,LimitedCapacityLift,LiftNotes
HUBHOH,HUBHOH-Lift-2,2,,,Lift 2,HUBHOH-1000102-WAL-9,,,HUBHOH-1000102-RPLP1-6,False,
HUBHOH,HUBHOH-Lift-3,3,,,Lift 3,HUBHOH-1000102-WAL-9,,,HUBHOH-1000102-Met34-2,False,
HUBHOH,HUBHOH-Lift-4,4,,,Lift 4,HUBHOH-1000102-WAL-9,,,HUBHOH-1000102-Met56-1,False,
HUBH13,HUBH13-Lift-1,1,,,Lift 1,HUBH13-1000105-BookH-7,,,HUBH13-1000105-Picca-1|HUBH13-1000105-Pic1-10,False,
HUBH13,HUBH13-Lift-2,2,,,Lift 2,HUBH13-1001147-Entr-2,,,HUBH13-1001147-RPL-1,False,
HUBHHY,HUBHHY-Lift-1,1,,,Lift 1,HUBHHY-1000108-RLY-4,,,HUBHHY-1000108-RPLHT-1,False,
HUBHHY,HUBHHY-Lift-2,2,,,Lift 2,HUBHHY-1000108-RLY-4,,,HUBHHY-1000108-RPLHW-2,False,
HUBHHY,HUBHHY-Lift-3,3,,,Lift 3,HUBHHY-1000108-RLY-4,,,HUBHHY-1000108-RPLHE-3,False,
HUBHMS,HUBHMS-Lift-1,1,,,Lift 1,HUBHMS-1000096-WBHal-11,,,HUBHMS-1000096-DisEB-2|HUBHMS-1000096-PicEB-4,False,
HUBHMS,HUBHMS-Lift-2,2,,,Lift 2,HUBHMS-1000096-WBHal-11,,,HUBHMS-1000096-DisWB-1|HUBHMS-1000096-PicWB-3,False,
HUBHRW,HUBHRW-Lift-1,1,,,Lift 1,HUBHRW-1000101-UNB-10|HUBHRW-1000101-RPLDN-12,,,HUBHRW-1000101-FOOTB-1,False,
HUBHRW,HUBHRW-Lift-2,2,,,Lift 2,HUBHRW-1000101-FOOTB-1,,,HUBHRW-1000101-USB-98|HUBHRW-1000101-RPLDS-7,False,
HUBHRW,HUBHRW-Lift-3,3,,,Lift 3,HUBHRW-1000101-FOOTB-1,,,HUBHRW-1000101-RPLAN-6,False,
HUBHRW,HUBHRW-Lift-4,4,,,Lift 4,HUBHRW-1000101-FOOTB-1,,,HUBHRW-1000101-RPLAS-11,False,
HUBHX4,HUBHX4-Lift-1,1,,,Lift 1,HUBHX4-1000104-BookH-4,,,HUBHX4-1000104-A-TER-1,False,
HUBHX4,HUBHX4-Lift-2,2,,,Lift 2,HUBHX4-1000104-RPL-2,,,HUBHX4-1000104-A-TER-1,False,
HUBHX5,HUBHX5-Lift-1,1,,,Lift 1,HUBHX5-1016430-A-T5-2,,,HUBHX5-1016430-PICC-1,False,
HUBHX5,HUBHX5-Lift-2,2,,,Lift 2,HUBHX5-1016430-A-T5-2,,,HUBHX5-1016430-RPL-6,False,
HUBIMP,HUBIMP-Lift-1,1,,,Lift 1,HUBIMP-1001347-RLY-5,,,HUBIMP-1001347-RPL-S-1,False,
HUBIMP,HUBIMP-Lift-2,2,,,Lift 2,HUBIMP-1001347-RLY-5,,,HUBIMP-1001347-RPL-N-4,False,
HUBKGX,HUBKGX-Lift-1,1,,F,Lift 1,HUBKGX-1000129-WTH-2,,,HUBKGX-1000129-Circl-1,False,
HUBKGX,HUBKGX-Lift-10,10,,A,Lift 10,HUBKGX-1000129-KC911-10,,,HUBKGX-1000129-NTH-11,False,
HUBKGX,HUBKGX-Lift-11,11,,C,Lift 11,HUBKGX-1000129-H-STP-21,,,HUBKGX-1000129-NTH-11,False,
HUBKGX,HUBKGX-Lift-2,2,,E,Lift 2,HUBKGX-1000129-I-E/C-3,,,HUBKGX-1000129-WTH-2,False,
HUBKGX,HUBKGX-Lift-3,3,,D,Lift 3,HUBKGX-1000129-I-E/C-3,HUBKGX-1000129-TTH-5,,HUBKGX-1000129-NPN-6,False,
HUBKGX,HUBKGX-Lift-5,5,,G,Lift 5,HUBKGX-1000129-NPN-6,,,HUBKGX-1000129-NorNB-19|HUBKGX-1000129-NorSB-26,False,
HUBKGX,HUBKGX-Lift-6,6,,H,Lift 6,HUBKGX-1000129-NTH-11,,,HUBKGX-1000129-NPE-7,False,
HUBKGX,HUBKGX-Lift-7,7,,J,Lift 7,HUBKGX-1000129-NPE-7,,,HUBKGX-1000129-PicWB-8|HUBKGX-1000129-PicEB-18,False,
HUBKGX,HUBKGX-Lift-8,8,,K,Lift 8,HUBKGX-1000129-NPE-7,,,HUBKGX-1000129-VicNB-22|HUBKGX-1000129-VicSB-23,False,
HUBLBG,HUBLBG-Lift-2,2,,,Lift 2,HUBLBG-1000139-BookJ-3,,,HUBLBG-1000139-Jubil-2,False,
HUBLBG,HUBLBG-Lift-3,3,,,Lift 3,HUBLBG-1000139-BOROU-4,,,HUBLBG-1000139-BookN-8,False,
HUBLBG,HUBLBG-Lift-4,4,,,Lift 4,HUBLBG-1000139-BookN-8,,,HUBLBG-1000139-North-9,False,
HUBLBG,HUBLBG-Lift-5,5,,,Lift 5,HUBLBG-1000139-RLY-16,,,HUBLBG-1000139-RPL45-22,False,
HUBLBG,HUBLBG-Lift-6,6,,,Lift 6,HUBLBG-1000139-RLY-16,,,HUBLBG-1000139-UpFlr-18,False,
HUBLCY,HUBLCY-Lift-1,1,,,Lift 1,HUBLCY-1002000-DRERD-5,,,HUBLCY-1002000-DLR-1,False,
HUBLCY,HUBLCY-Lift-2,2,,,Lift 2,HUBLCY-1002000-DRERD-5,,,HUBLCY-1002000-DLR-1,False,
HUBLHS,HUBLHS-Lift-1,1,,,Lift 1,HUBLHS-1001180-BRANC-8,,,HUBLHS-1001180-DLRE-7,TRUE,
HUBLHS,HUBLHS-Lift-2,2,,,Lift 2,HUBLHS-1001180-BRANC-8,,,HUBLHS-1001180-DLRW-3,TRUE,
HUBLHS,HUBLHS-Lift-3,3,,,Lift 3,HUBLHS-1001180-BUTCH-2,,,HUBLHS-1001180-DLRE-7,TRUE,
HUBLHS,HUBLHS-Lift-4,4,,,Lift 4,HUBLHS-1001180-BUTCH-2,,,HUBLHS-1001180-DLRW-3,TRUE,
HUBLST,HUBLST-Lift-1,1,,,Lift 1,HUBLST-1000138-BookH-1,,,HUBLST-1000138-RPL-11|HUBLST-1000138-Bus-10,False,
HUBLST,HUBLST-Lift-C,7,,C,Lift C,HUBLST-1000138-EL EB-19|HUBLST-1000138-EL WB-23,,,HUBLST-1000138-ELM-22,False,
HUBLST,HUBLST-Lift-B,8,,B,Lift B,HUBLST-1000138-ELM-22,,,HUBLST-1000138-ELBH-21,False,
HUBLST,HUBLST-Lift-A,9,,A,Lift A,HUBLST-1000138-ELBH-21,,,HUBLST-1000138-H-EL-20,False,
HUBNXG,HUBNXG-Lift-1,1,,,Lift 1,HUBNXG-1000156-RLY-4,,,HUBNXG-1000156-RPL-1-5,False,
HUBNXG,HUBNXG-Lift-3,3,,,Lift 3,HUBNXG-1000156-RLY-4,,,HUBNXG-1000156-RPL-5-7,False,
HUBPAD,HUBPAD-Lift-2,2,,,Lift 2,HUBPAD-1000174-Lawn-7,,,HUBPAD-1000174-D - L-10,False,
HUBPAD,HUBPAD-Lift-3,3,,,Lift 3,HUBPAD-1000175-BookH-4,,,HUBPAD-1000175-PLAT-7,False,
HUBPAD,HUBPAD-Lift-6,6,,,Lift 6,HUBPAD-1001221-ET-6,HUBPAD-1001221-WEnt-5,,HUBPAD-1001221-ELTH-8,False,
HUBPAD,HUBPAD-Lift-7,7,,,Lift 7,HUBPAD-1001221-ET-6,HUBPAD-1001221-ELEnt-7,,HUBPAD-1001221-ELTH-8,False,
HUBPAD,HUBPAD-Lift-8,8,,,Lift 8,HUBPAD-1001221-ELTH-8,,,HUBPAD-1001221-ELL-10,False,
HUBPAD,HUBPAD-Lift-9,9,,,Lift 9,HUBPAD-1001221-ELTH-8,,,HUBPAD-1001221-ELL-10,False,
HUBPAD,HUBPAD-Lift-12,12,,,Lift 12,HUBPAD-1001221-ELL-10,,,HUBPAD-1001221-BLL-9,False,
HUBPAD,HUBPAD-Lift-X,X,,,Lift X,HUBPAD-1000174-BLLU-13,,,HUBPAD-1000174-BakSB-1|HUBPAD-1000174-BakNB-2,False,
HUBRMD,HUBRMD-Lift-1,1,,,Lift 1,HUBRMD-1000192-RLY-4,,,HUBRMD-1000192-RPL W-9,False,
HUBRMD,HUBRMD-Lift-2,2,,,Lift 2,HUBRMD-1000192-RLY-4,,,HUBRMD-1000192-RPL E-3,False,
HUBSDE,HUBSDE-Lift-1,1,,,Lift 1,HUBSDE-1000202-CORNW-9,,,HUBSDE-1000202-DLR-3,False,
HUBSPB,HUBSPB-Lift-1,1,,,Lift 1,HUBSPB-1001348-Bridg-3,HUBSPB-1001348-RLY-5,,HUBSPB-1001348-RPL-N-1,False,
HUBSPB,HUBSPB-Lift-2,2,,,Lift 2,HUBSPB-1001348-Bridg-3,,,HUBSPB-1001348-RPL-S-4,False,
HUBSRA,HUBSRA-Lift-10,10,,,Lift 10,HUBSRA-1000226-Sub-W-10,,,HUBSRA-1000226-CenEB-2,False,
HUBSRA,HUBSRA-Lift-12,12,,,Lift 12,HUBSRA-1000226-Sub-W-10,,,HUBSRA-1000226-RPL-O-9|HUBSRA-1000226-RPL-N-12,False,
HUBSRA,HUBSRA-Lift-16,16,,,Lift 16,HUBSRA-1000226-WESTF-92,,,HUBSRA-1000226-Sub-W-10,False,
HUBSRA,HUBSRA-Lift-17,17,,,Lift 17,HUBSRA-1000226-WESTF-92,,,HUBSRA-1000226-Sub-M-1,False,
HUBSRA,HUBSRA-Lift-18,18,,,Lift 18,HUBSRA-1000226-Sub-W-10,,,HUBSRA-1000226-CenWB-3,False,
HUBSRA,HUBSRA-Lift-2,2,,,Lift 2,HUBSRA-1000226-Sub-M-1,,,HUBSRA-1000226-CenEB-2,False,
HUBSRA,HUBSRA-Lift-3,3,,,Lift 3,HUBSRA-1000226-Sub-M-1,,,HUBSRA-1000226-CenWB-3,False,
HUBSRA,HUBSRA-Lift-4,4,,,Lift 4,HUBSRA-1000226-MEZ-4,,,HUBSRA-1000226-TH-E-70,False,
HUBSRA,HUBSRA-Lift-5,5,,,Lift 5,HUBSRA-1000226-MEZ-4,,,HUBSRA-1000226-TH-W-5|HUBSRA-1000226-Jubil-8,False,
HUBSRA,HUBSRA-Lift-6,6,,,Lift 6,HUBSRA-1000226-MEZ-4,,,HUBSRA-1000226-TH-E-70,False,
HUBSRA,HUBSRA-Lift-7,7,,,Lift 7,HUBSRA-1000226-MEZ-4,,,HUBSRA-1000226-TH-W-5|HUBSRA-1000226-Jubil-8,False,
HUBSRA,HUBSRA-Lift-8,8,,,Lift 8,HUBSRA-1000226-Sub-W-10,,,HUBSRA-1000226-TH-W-5|HUBSRA-1000226-Jubil-8,False,
HUBSRA,HUBSRA-Lift-9,9,,,Lift 9,HUBSRA-1000226-Sub-M-1,,,HUBSRA-1000226-RPL-O-9|HUBSRA-1000226-RPL-N-12,False,
HUBTOG,HUBTOG-Lift-1,1,,,Lift 1,HUBTOG-1002076-MINOR-2,,,HUBTOG-1002076-DLR-1,TRUE,
HUBTOG,HUBTOG-Lift-2,2,,,Lift 2,HUBTOG-1002076-MINOR-2,,,HUBTOG-1002076-DLR-1,TRUE,
HUBTOM,HUBTOM-Lift-1,1,,,Lift 1,HUBTOM-1000236-LUBOO-1,,,HUBTOM-1000236-Victo-2,False,
HUBUPM,HUBUPM-Lift-1,1,,,Lift 1,HUBUPM-1000242-BridW-11,,,HUBUPM-1000242-Dist3-2|HUBUPM-1000242-Dis45-3|HUBUPM-1000242-RPL W-1,False,
HUBUPM,HUBUPM-Lift-2,2,,,Lift 2,HUBUPM-1000242-BridW-11,,,HUBUPM-1000242-Dist3-2|HUBUPM-1000242-Dis45-3|HUBUPM-1000242-RPL W-1,False,
HUBUPM,HUBUPM-Lift-3,3,,,Lift 3,HUBUPM-1000242-BridW-11,,,HUBUPM-1000242-Dist3-2|HUBUPM-1000242-Dis45-3|HUBUPM-1000242-RPL W-1,False,
HUBVIC,HUBVIC-Lift-A1B2,A1B2,,A and B,Lift A1B2,HUBVIC-1000248-D-VIC-9,,,HUBVIC-1000248-BookV-12,False,
HUBVIC,HUBVIC-Lift-C3,C3,,C,Lift C3,HUBVIC-1000248-CARD-71,,,HUBVIC-1000248-BookN-72,False,
HUBVIC,HUBVIC-Lift-D4,D4,,D,Lift D4,HUBVIC-1000248-BookV-12,HUBVIC-1000248-DisW-74,,HUBVIC-1000248-SInt-76,False,
HUBVIC,HUBVIC-Lift-E5,E5,,E,Lift E5,HUBVIC-1000248-BookN-72,,,HUBVIC-1000248-NInt-73,False,
HUBVIC,HUBVIC-Lift-F6,F6,,F,Lift F6,HUBVIC-1000248-VicNB-4|HUBVIC-1000248-VicSB-5,HUBVIC-1000248-DVLnk-16,,HUBVIC-1000248-DisE-2,False,
