PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GCFPK-Plat01-NB-thameslink,910GCFPK,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCFPK-Plat02-SB-thameslink,910GCFPK,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCHDWLHT-Plat01-WB-elizabeth,910GCHDWLHT,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GCHDWLHT-Plat02-EB-elizabeth,910GCHDWLHT,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GCHDWLHT-Plat03-WB-elizabeth,910GCHDWLHT,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GCHDWLHT-Plat04-EB-elizabeth,910GCHDWLHT,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GCHESHNT-Plat01-SB-national-rail,910GCHESHNT,national-rail,,,,,,,,False,,TRUE,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHESHNT-Plat02-NB-national-rail,910GCHESHNT,national-rail,,,,,,,,False,,TRUE,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHESHNT-Plat03-SB-london-overground,910GCHESHNT,london-overground,Edmonton Green,,,,,,,False,,TRUE,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GCHINGFD-Plat02-SB-london-overground,910GCHINGFD,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GCHINGFD-Plat03-SB-london-overground,910GCHINGFD,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GCLAPTON-Plat01-SB-london-overground,910GCLAPTON,london-overground,,,,,,,,False,,False,,
910GCLAPTON-Plat02-NB-london-overground,910GCLAPTON,london-overground,,,,,,,,False,,False,,
910GCLDNNRB-Plat02-WB-london-overground,910GCLDNNRB,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GCLDNNRB-Plat03-EB-london-overground,910GCLDNNRB,london-overground,Stratford,,,,,,,False,,TRUE,,
910GCLPHHS-Plat01-WB-london-overground,910GCLPHHS,london-overground,,,,,,,,False,,False,,
910GCLPHHS-Plat02-EB-london-overground,910GCLPHHS,london-overground,,,,,,,,False,,False,,
910GCMDNRD-Plat01-WB-london-overground,910GCMDNRD,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GCMDNRD-Plat02-EB-london-overground,910GCMDNRD,london-overground,Stratford,,,,,,,False,,TRUE,,
910GCNNB-Plat01-NB-london-overground,910GCNNB,london-overground,Highbury & Islington,0,85,,0,50,,TRUE,,FALSE,,
910GCNNB-Plat02-SB-london-overground,910GCNNB,london-overground,Crystal Palace and Clapham Junction via Canada Water,0,85,,0,50,,TRUE,,FALSE,,
910GCNNB-Plat03-WB-london-overground,910GCNNB,london-overground,Richmond and Clapham Junction via Willesden Junction,,,,,,,False,,TRUE,,
910GCNNB-Plat04-EB-london-overground,910GCNNB,london-overground,Stratford,,,,,,,False,,TRUE,,
910GCOLSDNS-Plat01-NB-thameslink,910GCOLSDNS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCOLSDNS-Plat02-SB-thameslink,910GCOLSDNS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRKLWD-Plat01-SB-thameslink,910GCRKLWD,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRKLWD-Plat02-NB-thameslink,910GCRKLWD,thameslink,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRLN-Plat01-WB-national-rail,910GCRLN,national-rail,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRLN-Plat02-EB-national-rail,910GCRLN,national-rail,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCROUCHH-Plat01-WB-london-overground,910GCROUCHH,london-overground,,,,,,,,False,,False,,
910GCROUCHH-Plat02-EB-london-overground,910GCROUCHH,london-overground,,,,,,,,False,,False,,
910GCRPNDPK-Plat01-SB-london-overground,910GCRPNDPK,london-overground,Euston,,,,,,,False,,TRUE,,
910GCRPNDPK-Plat02-NB-london-overground,910GCRPNDPK,london-overground,Watford Junction,,,,,,,False,,TRUE,,
910GCRSHLTN-Plat01-EB-thameslink,910GCRSHLTN,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCRSHLTN-Plat02-WB-thameslink,910GCRSHLTN,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCTMSLNK-Plat01-NB-thameslink,910GCTMSLNK,thameslink,,0,85,,0,50,,TRUE,,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCTMSLNK-Plat02-SB-thameslink,910GCTMSLNK,thameslink,,0,85,,0,50,,TRUE,,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GDALSKLD-Plat01-WB-london-overground,910GDALSKLD,london-overground,,,,,,,,False,,False,,
910GDALSKLD-Plat02-EB-london-overground,910GDALSKLD,london-overground,,,,,,,,False,,False,,
910GDALS-Plat01-NB-london-overground,910GDALS,london-overground,Highbury & Islington,0,85,,0,50,,TRUE,,FALSE,,
910GDALS-Plat02-SB-london-overground,910GDALS,london-overground,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0,85,,0,50,,TRUE,,FALSE,,
910GDALS-Plat03-SB-london-overground,910GDALS,london-overground,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0,85,,0,50,,TRUE,,FALSE,,
910GDALS-Plat04-SB-london-overground,910GDALS,london-overground,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0,85,,0,50,,TRUE,,FALSE,,
910GDARTFD-Plat01-WB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,TRUE,,
910GDARTFD-Plat02-WB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,TRUE,,
910GDARTFD-Plat03-WB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,TRUE,,
910GDARTFD-Plat04-EB-national-rail,910GDARTFD,national-rail,,,,,,,,False,,TRUE,,
910GDENMRKH-Plat01-WB-london-overground|national-rail,910GDENMRKH,london-overground,Clapham Junction,,,,,,,False,,TRUE,,
910GDENMRKH-Plat01-WB-london-overground|national-rail,910GDENMRKH,national-rail,,,,,,,,False,,TRUE,,
910GDENMRKH-Plat02-EB-london-overground|national-rail,910GDENMRKH,london-overground,Highbury & Islington,,,,,,,False,,TRUE,,
910GDENMRKH-Plat02-EB-london-overground|national-rail,910GDENMRKH,national-rail,,,,,,,,False,,TRUE,,
910GDENMRKH-Plat03-WB-national-rail,910GDENMRKH,national-rail,,,,,,,,False,,TRUE,,
910GDENMRKH-Plat04-EB-national-rail,910GDENMRKH,national-rail,,,,,,,,False,,TRUE,,
910GDEPTFD-Plat01-WB-thameslink,910GDEPTFD,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GDEPTFD-Plat02-EB-thameslink,910GDEPTFD,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GEDMNGRN-Plat01-SB-london-overground|national-rail,910GEDMNGRN,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GEDMNGRN-Plat01-SB-london-overground|national-rail,910GEDMNGRN,national-rail,,,,,,,,False,,TRUE,,
910GEDMNGRN-Plat02-NB-london-overground|national-rail,910GEDMNGRN,london-overground,Enfield Town and Cheshunt,,,,,,,False,,TRUE,,
910GEDMNGRN-Plat02-NB-london-overground|national-rail,910GEDMNGRN,national-rail,,,,,,,,False,,TRUE,,
910GELTR-Plat01-SB-thameslink,910GELTR,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
