pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
910GBKRVS-1002272-RLY-5-910GBKRVS-1002272-RPL-2-2-lift-910GBKRVS-Lift-1,910GBKRVS-1002272-RLY-5,910GBKRVS-1002272-RPL-2-2,5,1
910GBKRVS-1002272-RLY-5-910GBKRVS-1002272-RPL-2-2-lift-910GBKRVS-Lift-2,910GBKRVS-1002272-RLY-5,910GBKRVS-1002272-RPL-2-2,5,1
910GBKRVS-1002272-RLY-5-910GBKRVS-1002272-RREnt-1-same_level,910GBKRVS-1002272-RLY-5,910GBKRVS-1002272-RREnt-1,1,1
910GBKRVS-1002272-RPL-1-4-910GBKRVS-Plat01-WB-london-overground-same_level,910GBKRVS-1002272-RPL-1-4,910GBKRVS-Plat01-WB-london-overground,1,1
910GBKRVS-1002272-RPL-2-2-910GBKRVS-Plat02-WB-london-overground-same_level,910GBKRVS-1002272-RPL-2-2,910GBKRVS-Plat02-WB-london-overground,1,1
910GBKRVS-Outside-910GBKRVS-1002272-FCEnt-3-same_level,910GBKRVS-Outside,910GBKRVS-1002272-FCEnt-3,1,1
910GBKRVS-Outside-910GBKRVS-1002272-RREnt-1-same_level,910GBKRVS-Outside,910GBKRVS-1002272-RREnt-1,1,1
910GBNHAM-1000860-Bus-91-910GBNHAM-1000860-Entr-90-same_level,910GBNHAM-1000860-Bus-91,910GBNHAM-1000860-Entr-90,1,1
910GBNHAM-1000860-Entr-90-910GBNHAM-1000860-UP-4-same_level,910GBNHAM-1000860-Entr-90,910GBNHAM-1000860-UP-4,1,1
910GBNHAM-1000860-RPL E-1-910GBNHAM-1000860-RPL W-2-same_level,910GBNHAM-1000860-RPL E-1,910GBNHAM-1000860-RPL W-2,1,1
910GBNHAM-1000860-RPL E-1-910GBNHAM-Plat02-EB-elizabeth-same_level,910GBNHAM-1000860-RPL E-1,910GBNHAM-Plat02-EB-elizabeth,1,1
910GBNHAM-1000860-RPL W-2-910GBNHAM-Plat01-WB-elizabeth-same_level,910GBNHAM-1000860-RPL W-2,910GBNHAM-Plat01-WB-elizabeth,1,1
910GBNHAM-1000860-UP-4-910GBNHAM-1000860-RPL E-1-lift-910GBNHAM-Lift-1,910GBNHAM-1000860-UP-4,910GBNHAM-1000860-RPL E-1,5,1
910GBNHAM-1000860-UP-4-910GBNHAM-1000860-RPL W-2-lift-910GBNHAM-Lift-1,910GBNHAM-1000860-UP-4,910GBNHAM-1000860-RPL W-2,5,1
910GBNHAM-Outside-910GBNHAM-1000860-Entr-90-same_level,910GBNHAM-Outside,910GBNHAM-1000860-Entr-90,1,1
910GBNHAM-Plat01-WB-elizabeth-910GBNHAM-Plat02-EB-elizabeth-same_level,910GBNHAM-Plat01-WB-elizabeth,910GBNHAM-Plat02-EB-elizabeth,1,1
910GBRBY-1001038-Bus-1-910GBRBY-1001038-Entr-3-same_level,910GBRBY-1001038-Bus-1,910GBRBY-1001038-Entr-3,1,1
910GBRBY-1001038-Entr-3-910GBRBY-1001038-RLY-4-same_level,910GBRBY-1001038-Entr-3,910GBRBY-1001038-RLY-4,1,1
910GBRBYPK-1001039-BUS-3-910GBRBYPK-1001039-Entr-2-same_level,910GBRBYPK-1001039-BUS-3,910GBRBYPK-1001039-Entr-2,1,1
910GBRENTX-1002310-BusE-9-910GBRENTX-1002310-EntE-6-same_level,910GBRENTX-1002310-BusE-9,910GBRENTX-1002310-EntE-6,1,1
910GBRENTX-1002310-BusW-1-910GBRENTX-1002310-EntW-7-same_level,910GBRENTX-1002310-BusW-1,910GBRENTX-1002310-EntW-7,1,1
910GBRENTX-1002310-EML-11-910GBRENTX-1002310-FB-8-lift-910GBRENTX-Lift-5,910GBRENTX-1002310-EML-11,910GBRENTX-1002310-FB-8,5,1
910GBRENTX-1002310-EntE-6-910GBRENTX-1002310-EML-11-lift-910GBRENTX-Lift-4,910GBRENTX-1002310-EntE-6,910GBRENTX-1002310-EML-11,5,1
910GBRENTX-1002310-EntW-7-910GBRENTX-1002310-FB-8-lift-910GBRENTX-Lift-1,910GBRENTX-1002310-EntW-7,910GBRENTX-1002310-FB-8,5,1
910GBRENTX-1002310-FB-8-910GBRENTX-1002310-RLY-5-same_level,910GBRENTX-1002310-FB-8,910GBRENTX-1002310-RLY-5,1,1
910GBRENTX-1002310-RLY-5-910GBRENTX-1002310-RPL1-2-lift-910GBRENTX-Lift-3,910GBRENTX-1002310-RLY-5,910GBRENTX-1002310-RPL1-2,5,1
910GBRENTX-1002310-RLY-5-910GBRENTX-1002310-RPL2-3-lift-910GBRENTX-Lift-3,910GBRENTX-1002310-RLY-5,910GBRENTX-1002310-RPL2-3,5,1
910GBRENTX-1002310-RLY-5-910GBRENTX-1002310-RPL3-4-lift-910GBRENTX-Lift-2,910GBRENTX-1002310-RLY-5,910GBRENTX-1002310-RPL3-4,5,1
910GBRENTX-1002310-RLY-5-910GBRENTX-1002310-RPL4-10-lift-910GBRENTX-Lift-2,910GBRENTX-1002310-RLY-5,910GBRENTX-1002310-RPL4-10,5,1
910GBRENTX-1002310-RPL1-2-910GBRENTX-1002310-RPL2-3-same_level,910GBRENTX-1002310-RPL1-2,910GBRENTX-1002310-RPL2-3,1,1
910GBRENTX-1002310-RPL1-2-910GBRENTX-Plat01-SB-thameslink-same_level,910GBRENTX-1002310-RPL1-2,910GBRENTX-Plat01-SB-thameslink,1,1
910GBRENTX-1002310-RPL2-3-910GBRENTX-Plat02-NB-thameslink-same_level,910GBRENTX-1002310-RPL2-3,910GBRENTX-Plat02-NB-thameslink,1,1
910GBRENTX-1002310-RPL3-4-910GBRENTX-1002310-RPL4-10-same_level,910GBRENTX-1002310-RPL3-4,910GBRENTX-1002310-RPL4-10,1,1
910GBRENTX-1002310-RPL3-4-910GBRENTX-Plat03-SB-thameslink-same_level,910GBRENTX-1002310-RPL3-4,910GBRENTX-Plat03-SB-thameslink,1,1
910GBRENTX-1002310-RPL4-10-910GBRENTX-Plat04-NB-thameslink-same_level,910GBRENTX-1002310-RPL4-10,910GBRENTX-Plat04-NB-thameslink,1,1
910GBRENTX-Outside-910GBRENTX-1002310-EntE-6-same_level,910GBRENTX-Outside,910GBRENTX-1002310-EntE-6,1,1
910GBRENTX-Outside-910GBRENTX-1002310-EntW-7-same_level,910GBRENTX-Outside,910GBRENTX-1002310-EntW-7,1,1
910GBROCKLY-1001035-Brdge-7-910GBROCKLY-1001035-RLY-3-same_level,910GBROCKLY-1001035-Brdge-7,910GBROCKLY-1001035-RLY-3,1,1
910GBROCKLY-1001035-Brdge-7-910GBROCKLY-1001035-RPL-N-6-lift-910GBROCKLY-Lift-1,910GBROCKLY-1001035-Brdge-7,910GBROCKLY-1001035-RPL-N-6,5,1
910GBROCKLY-1001035-Brdge-7-910GBROCKLY-Outside-same_level,910GBROCKLY-1001035-Brdge-7,910GBROCKLY-Outside,1,1
910GBROCKLY-1001035-Bus-4-910GBROCKLY-1001035-CEntr-2-same_level,910GBROCKLY-1001035-Bus-4,910GBROCKLY-1001035-CEntr-2,1,1
